Unnamed: 0,latitude,longitude,name,Area
379,1.357167651,103.8542878,BEF ANG MO KIO AVE 10,None
380,1.297717617,103.7857015,AYER RAJAH IND EST,None
381,1.365604522,103.6933289,OPP CIVIL DEFENCE ACAD,None
382,1.442356547,103.7900829,BLK 875,None
383,1.319937724,103.8697604,OPP BLK 66,None
384,1.34632614,103.7541804,OPP BLK 217,None
385,1.341602235,103.743616,BLK 241,None
386,1.35688571,103.9448018,BLK 401,None
387,1.392101934,103.8930848,BLK 323B,None
388,1.329148854,103.9635799,OPP GLOBAL LOGISTICS CTR,None
389,1.320765512,103.9180066,AFT PERPETUAL SUCCOUR CH,None
390,1.377074803,103.9456983,OPP BLK 500A,None
391,1.362416542,103.9021344,BEF DEFU AVE 2,None
392,1.299051368,103.7670453,OPP WEST BAY RESORT CONDO,None
393,1.364054232,103.8282435,FABER GDN,None
394,1.375819497,103.7692665,BET BLKS 139/140,None
395,1.338962349,103.9274145,WATERFRONT ISLE,None
396,1.363254414,103.9674644,BEF JLN MARIAM,None
397,1.436325682,103.7740623,BLK 146,None
398,1.345016748,103.7483617,BT BATOK SWIM CPLX,None
399,1.423606634,103.8302039,OPP KHATIB CAMP,None
400,1.320011678,103.6722788,ASIATIC AGRICULTURAL IND,None
401,1.351031507,103.8618502,NEW TECH PK,None
402,1.332731889,103.9012002,OPP EUNOS TECHNOLINK,None
403,1.313437836,103.72274,OPP JURONG ABATTOIR,None
404,1.32033013,103.7375824,BET BLKS 50/51,None
405,1.340789301,103.9365302,OPP BEDOK REFORM TRG CTR,None
406,1.310151073,103.6971019,AFT SHIPYARD RD,None
407,1.369972136,103.889473,BLK 834,None
408,1.326487139,103.8441693,AFT IRRAWADDY RD,None
409,1.313360332,103.6960141,Aft Jln Buroh,None
410,1.425060849,103.8455624,BLK 356,None
411,1.34646114,103.7546118,BLK 217,None
412,1.338000829,103.7032794,BLK 664C,None
413,1.309657021,103.8966644,DUNMAN VIEW,None
414,1.384238423,103.8444964,AMK POLICE DIV HQ,None
415,1.327077146,103.8703972,KOLAM AYER IND EST,None
416,1.337601069,103.8598849,OPP BLK 231,None
417,1.381354491,103.9981569,AFT CARGO BLDG D,None
418,1.350286459,103.7337917,AFT TRACK 18,None
419,1.342050871,103.7354109,OPP BLK 227,None
420,1.437603473,103.7923974,OPP BLK 896B,None
421,1.323802162,103.7725979,OPP BLK 116,None
422,1.402519672,103.9125991,OASIS STN / EXIT A,None
423,1.353109129,103.7304283,AFT TRACK 22,None
424,1.342647306,103.7038031,BLK 685B,None
425,1.332952979,103.8514363,CHUNG HWA FREE CLINIC,None
426,1.4189772,103.8409846,BLK 671 CP,None
427,1.342529445,103.7332134,OPP CHINESE GDN STN,None
428,1.330802199,103.8771818,OPP CENCON BLDG,None
429,1.397323664,103.9086534,MERDIAN STN EXIT B,None
430,1.353847497,103.9574971,NGEE ANN SEC SCH,None
431,1.32752638,103.7180821,BEF CHIA PING RD,None
432,1.364540689,103.7434179,OPP DUNEARN SEC SCH,None
433,1.355322336,103.9471216,BLK 237,None
434,1.338761781,103.7095665,BEF BOON LAY WAY,None
435,1.379823193,103.8881333,HOUGANG G. SHOP MALL,None
436,1.287059565,103.7850881,OPP SCI PK 2 / THE GALEN,None
437,1.433473922,103.796458,BLK 618,None
438,1.31529153,103.6599194,AFT GUL LANE,None
439,1.301759784,103.8960337,BEF TG KATONG RD,None
440,1.338775191,103.6381541,SUPER CONTINENTAL,None
441,1.455918195,103.7987206,NORTHTECH,None
442,1.278170905,103.7870209,PASIR VIEW PK,None
443,1.317190575,103.8075801,FARRER RD STN EXIT A,None
444,1.298215764,103.8555223,BUGIS CUBE,None
445,1.307517444,103.9176298,ST. PATRICK'S SCH,None
446,1.309757437,103.8672615,AFT PADANG JERINGAU,None
447,1.375122677,103.7401028,OPP BLK 489A,None
448,1.319836633,103.9444071,BLK 172,None
449,1.361790801,103.7436209,BT BATOK HME FOR THE AGED,None
450,1.375250238,103.7403674,BLK 489A,None
451,1.329985158,103.8603983,OPP BLK 195,None
452,1.299313513,103.8453726,DHOBY GHAUT STN,None
453,1.432304099,103.7722515,OPP BLK 402,None
454,1.350385129,103.7333448,OPP TRACK 18,None
455,1.372461325,103.8983271,BLK 355,None
456,1.457798456,103.8029412,OPP BRITISH AMERICAN TOBACCO,None
457,1.357217642,103.8288024,BEF WINDSOR PK RD,None
458,1.317292481,103.9159422,BEF FRANKEL DR,None
459,1.310700384,103.9186799,AFT DUNBAR WK,None
460,1.391403511,103.9817085,GOVT CHALETS,None
461,1.32016468,103.8618799,BOON KENG STN / BLK 102,None
462,1.320450027,103.8701577,BEF GEYLANG BAHRU STN,None
463,1.432079383,103.8420399,OPP BLK 314,None
464,1.411443558,103.8735653,OPP SELETAR CAMP,None
465,1.316615479,103.8903788,SIMS VILLE,None
466,1.375361162,103.9539426,DOWNTOWN EAST,None
467,1.403757983,103.8933391,BLK 227A,None
468,1.377447729,103.7508079,OPP BLK 113,None
469,1.371252244,103.8892903,BLK 512,None
470,1.282840186,103.7817889,OPP HAW PAR VILLA STN,None
471,1.307784505,103.6945127,PLANT ENGRG,None
472,1.314367758,103.6706849,AFT GUL AVE,None
473,1.317858454,103.735893,BEF PENJURU WK,None
474,1.307508464,103.7778926,AYER RAJAH TELECOMS,None
475,1.388159924,103.887548,OPP BLK 305 CP,None
476,1.345418458,103.7320002,BLK 347,None
477,1.41440551,103.8620971,YOUTH FLYING CLUB,None
478,1.296939921,103.8529766,BRAS BASAH CPLX,None
479,1.364949315,103.7441791,BLK 402,None
480,1.327666508,103.6939168,BEF FIRST LOK YANG RD,None
481,1.44614527,103.7772517,AFT RIVERSIDE RD,None
482,1.273126519,103.8489406,SHENTON WAY TER,None
483,1.310175965,103.7111709,JURONG ISLAND CHECKPT,None
484,1.312945197,103.9264179,CRESCENDO BLDG,None
485,1.436680989,103.764092,OPP GLOBALFOUNDRIES,None
486,1.302226659,103.8299791,AFT ORCHARD BLVD,None
487,1.419434812,103.8382597,OPP CHUNG CHENG HIGH SCH,None
488,1.31302343,103.7613648,BLK 506,None
489,1.343738281,103.8674302,OPP PUB RECREATION CLUB,None
490,1.336882965,103.8497555,JACKSON SQ,None
491,1.27553272,103.8410641,OPP MARITIME HSE,None
492,1.334535904,103.8536546,BLK 68,None
493,1.320233521,103.7370619,OPP BLK 51,None
494,1.420034874,103.8318347,BLK 794,None
495,1.418675087,103.8329964,OPP KHATIB STN EXIT D,None
496,1.290402786,103.827677,BLK 51 CP,None
497,1.417789191,103.8382901,BLK 858,None
498,1.379857773,103.6970707,HQ 5TH SIB CAMP I,None
499,1.316681881,103.9330426,OPP CASAFINA / TEMASEK JC,None
500,1.333841987,103.9293426,BLK 526,None
501,1.419717245,103.8317704,NAVAL BASE SEC SCH,None
502,1.334746043,103.6930654,AFT JURONG WEST ST 93,None
503,1.281050624,103.8446729,MAXWELL RD FC,None
504,1.389606602,103.9958436,OPP CHANGI BEACH CP 5,None
505,1.331417004,103.7199354,AFT FOURTH CHIN BEE RD,None
506,1.40208274,103.9127938,OASIS STN EXIT B / BLK 617D,None
507,1.289449035,103.8022404,AFT QUEENSTOWN NPC HQ,None
508,1.32175577,103.9136366,KEMBANGAN STN,None
